Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Dd,Statistical Factors,Rank,Rank_nr,Holding Yrs
1.996,1.77,7.86,0.25,0.02,1.02,-3.31180000000001,G,1Q,1,1
0.517,2.97,7.77,0.07,0.18,1.08,-3.615,G,1Q,1,1
4.29,0.420000000000002,7.13,0.6,0.09,0.97,-2.0772,G,1Q,1,1
2.477,3.93,5.91,0.42,0.28,1.17,-4.18960000000001,G,1Q,1,1
1.038,1.29,4.85,0.21,0.45,1.04,-4.6538,G,1Q,1,1
3.904,3.64,4.82,0.81,-0.22,1.27,-1.5476,G,1Q,1,1
5.491,1.15,2.81,1.95,0.22,1.07,-0.3995,G,1Q,1,1
-3.904,-6.12,10.87,-0.36,1.22,0.33,2.7755,G,1Q,1,1
-1.331,-3.69,7.46,-0.18,0.4,0.73,2.5947,G,1Q,1,1
2.774,-3.95,5.98,0.46,0.46,0.75,2.9675,G,1Q,1,1
-1.868,2.96,4.94,-0.38,-0.08,1.13,-1.5463,G,1Q,1,1
-0.357,0.27,4.01,-0.09,-0.11,0.99,-1.6556,G,1Q,1,1
1.823,3.18,5.69,0.32,0.25,1.13,-3.2444,G,1Q,1,1
-4.192,3.35,5.71,-0.73,-0.27,1.15,-3.8758,G,1Q,1,1
-0.0529999999999999,5.28,7.04,-0.01,-0.25,1.27,-4.6873,G,1Q,1,1
3.941,2.68,5.22,0.75,0.3,1.12,-0.656000000000002,G,1Q,1,1
4.841,5.03,8.03,0.6,0.58,1.23,-2.9663,G,1Q,1,1
4.685,3.69,7.49,0.63,0.38,1.15,-4.7973,G,1Q,1,1
-6.422,6.4,7.21,-0.89,-1.16,1.5,-4.4591,V,1Q,1,1
10.561,6.34,11.01,0.96,0.58,1.23,-7.2899,VG,1Q,1,3
-5.428,1.74,3.96,-1.37,-0.31,1.08,-2.98970000000001,V,1Q,1,1
0.340999999999999,-1.78,4.98,0.07,0.18,0.78,3.2244,V,1Q,1,3
9.418,1.51,8.69,1.08,0.8,0.88,1.6441,V,1Q,1,3
7.168,-0.25,8.45,0.85,0.77,0.74,5.0728,V,1Q,1,3
3.319,0.34,7.38,0.45,0.36,0.85,3.3981,V,1Q,1,3
3.336,0.51,6.37,0.52,0.46,0.91,0.973599999999998,V,1Q,1,3
4.827,2.76,5.79,0.83,0.24,1.14,-2.7502,V,1Q,1,3
3.64,4.61,7.48,0.49,0.08,1.26,-5.9546,V,1Q,1,3
4.726,4.37,6.73,0.7,0.08,1.28,-5.8325,V,1Q,1,3
-0.469999999999999,-1.11,4.25,-0.11,0.12,0.83,3.6471,V,1Q,1,3
-5.467,1.57,5.34,-1.02,-0.45,1.04,-1.3908,V,1Q,1,3
1.199,0.99,3.42,0.35,0.12,1.05,-1.3061,V,1Q,1,3
9.529,6.9,9.73,0.98,0.24,1.43,-9.867,V,1Q,1,3
9.31,6.15,9.93,0.94,0.27,1.31,-8.171,V,1Q,1,3
4.578,2.97,6.7,0.68,0.31,1.11,-3.5341,V,1Q,1,3
4.905,2.42,5.58,0.88,0.26,1.11,-2.1737,V,1Q,1,3
1.52,3.8,6.31,0.24,-0.04,1.27,-10.0532,V,1Q,1,3
7.765,5.52,8.16,0.95,0.1,1.39,-10.4348,V,1Q,1,3
28.971,4.23,10.47,2.77,1.56,1.08,-4.9106,VG,1Q,1,1
22.346,2.21,7.59,2.94,1.31,1.03,1.5126,VG,1Q,1,1
17.233,1.3,6.88,2.5,1.48,0.98,2.1318,VG,1Q,1,1
6.13,4.9,6.97,0.88,0.29,1.35,-6.7037,V,1Q,1,3
-11.35,3.77,7.57,-1.5,-0.72,1.16,-11.7688,V,1Q,1,3
0.111,7.32,14.28,0.01,0.0,1.16,-10.2074,V,1Q,1,3
13.41,11.42,18.76,0.71,0.81,1.29,-12.2656,V,1Q,1,3
13.619,7.75,10.75,1.27,0.3,1.27,-4.6907,VG,1Q,1,1
36.968,6.39,10.47,3.53,1.59,1.25,-4.61,VG,1Q,1,1
34.708,5.15,11.07,3.14,1.59,1.13,-5.891,VG,1Q,1,1
3.893,8.82,10.96,0.36,-0.22,1.41,-8.701,V,1Q,1,3
12.023,8.08,11.88,1.01,0.43,1.33,-8.7146,V,1Q,1,3
8.879,6.92,11.31,0.79,0.49,1.26,-6.8841,V,1Q,1,3
6.259,7.79,11.64,0.54,0.29,1.31,-9.1691,V,1Q,1,3
-6.135,7.24,10.97,-0.56,-0.71,1.29,-11.5648,V,1Q,1,3
-1.997,4.72,7.61,-0.26,-0.23,1.2,-7.1734,V,1Q,1,3
-0.598000000000001,3.78,6.33,-0.09,-0.18,1.16,-4.2103,V,1Q,1,3
2.912,3.8,6.09,0.48,0.08,1.17,-3.0774,V,1Q,1,3
-2.443,2.41,6.69,-0.37,-0.35,1.07,-5.5031,V,1Q,1,3
-0.928000000000001,-1.2,6.85,-0.14,0.05,0.87,-3.947,V,1Q,1,3
-0.382,-1.1,7.01,-0.05,0.02,0.87,-3.74740000000001,V,1Q,1,3
-0.0460000000000012,1.72,5.06,-0.01,-0.06,1.06,-3.51750000000001,V,1Q,1,3
-1.747,3.19,6.2,-0.28,-0.3,1.13,-5.4121,V,1Q,1,3
-2.388,2.19,5.88,-0.41,-0.23,1.08,-3.00680000000001,V,1Q,1,3
-1.092,1.27,4.87,-0.22,-0.1,1.04,-0.922800000000002,V,1Q,1,3
-6.209,3.33,6.07,-1.02,-0.5,1.15,-4.4724,V,1Q,1,3
10.167,8.49,16.07,0.63,0.59,1.18,-8.7449,V,1Q,1,3
6.745,10.75,17.56,0.38,0.75,1.3,-11.4891,V,1Q,1,3
22.793,5.49,9.75,2.34,1.13,1.23,1.7305,VG,1Q,1,1
22.807,6.38,11.38,2.0,0.8,1.23,0.1011,VG,1Q,1,1
24.649,6.34,12.42,1.98,1.15,1.16,-2.3646,VG,1Q,1,1
4.074,-1.22,7.83,0.52,1.19,0.64,-0.635899999999999,VG,1Q,1,1
-2.148,1.02,5.44,-0.39,-0.19,1.0,-0.881700000000002,V,1Q,1,2
-1.818,0.869999999999999,5.25,-0.35,0.01,1.0,-0.289900000000003,V,1Q,1,2
-1.919,0.59,5.06,-0.38,-0.1,0.98,0.245199999999997,V,1Q,1,2
-3.456,2.6,5.88,-0.59,-0.25,1.11,-3.4117,V,1Q,1,2
5.716,2.24,8.45,0.68,0.44,1.0,-1.1193,V,1Q,1,2
4.16,3.29,8.88,0.47,0.22,1.06,-3.1385,V,1Q,1,2
3.817,4.86,9.03,0.42,0.01,1.2,-3.7394,V,1Q,1,2
-1.767,4.61,9.15,-0.19,-0.18,1.17,-4.1884,V,1Q,1,2
-4.517,3.95,7.68,-0.59,-0.41,1.18,-5.34,V,1Q,1,2
-2.442,1.06,5.29,-0.46,-0.23,1.0,-1.3908,V,1Q,1,2
1.807,-1.25,4.72,0.38,0.2,0.82,3.2244,V,1Q,1,2
6.463,0.5,6.15,1.05,0.66,0.83,1.6441,V,1Q,1,2
3.798,-0.520000000000001,5.56,0.68,0.43,0.76,1.0183,V,1Q,1,2
-2.058,0.32,5.56,-0.37,0.17,0.74,0.2842,V,1Q,1,2
-0.841999999999999,0.41,5.34,-0.16,0.22,0.8,0.353299999999999,V,1Q,1,2
4.224,1.26,5.03,0.84,0.38,0.95,-0.2339,V,1Q,1,2
8.497,2.83,6.67,1.27,0.62,1.04,0.227,V,1Q,1,2
13.371,2.39,5.26,2.54,0.77,1.12,-0.3064,V,1Q,1,2
-1.536,-0.38,4.21,-0.36,0.1,0.79,1.1646,V,1Q,1,2
2.048,-0.28,2.99,0.68,0.36,0.88,0.7837,V,1Q,1,2
14.085,3.41,6.14,2.29,0.65,1.22,-0.3909,V,1Q,1,2
-0.245000000000001,-0.15,4.91,-0.05,0.04,0.94,0.995699999999999,V,1Q,1,2
9.899,8.28,10.51,0.94,0.25,1.28,-5.77500000000001,VG,1Q,1,1
2.828,-1.64,6.12,0.46,0.29,0.8,5.0387,V,1Q,1,2
-8.171,-0.42,4.6,-1.78,-0.42,0.93,-5.5031,V,1Q,1,2
-9.021,3.09,4.85,-1.86,-1.03,1.21,-1.4214,V,1Q,1,1
2.573,0.48,5.28,0.49,0.1,0.99,-1.6183,V,1Q,1,2
6.401,8.88,11.97,0.53,-0.05,1.37,-9.85400000000001,V,1Q,1,2
3.873,8.36,11.22,0.35,-0.34,1.36,-8.828,V,1Q,1,2
13.669,16.74,20.49,0.67,-0.11,1.69,-16.3939,V,1Q,1,2
13.109,15.81,19.03,0.69,0.04,1.68,-11.0066,V,1Q,1,2
16.466,13.55,16.76,0.98,0.23,1.58,-9.0134,V,1Q,1,2
10.067,11.13,14.03,0.72,0.05,1.48,-9.3565,V,1Q,1,2
1.352,5.18,8.36,0.16,-0.04,1.2,-3.8805,V,1Q,1,2
2.474,2.82,5.87,0.42,0.0,1.11,-2.98970000000001,V,1Q,1,2
-2.495,4.43,7.34,-0.34,-0.38,1.18,-3.8127,V,1Q,1,2
-3.833,6.56,8.54,-0.45,-0.72,1.29,-6.8335,V,1Q,1,2
-1.102,14.05,15.8,-0.07,-0.99,1.62,-12.3699,V,1Q,1,2
2.227,10.59,12.22,0.18,-0.21,1.47,-8.701,V,1Q,1,2
10.286,8.53,11.07,0.93,0.29,1.36,-8.7146,V,1Q,1,2
4.529,7.37,9.57,0.47,0.17,1.31,-6.8841,V,1Q,1,2
-2.321,8.52,10.47,-0.22,-0.27,1.37,-9.1691,V,1Q,1,2
