Date,Group,Portfolio Return,Peak,Drawdown
7/31/2013,S&P BSE 500,92.67,101.70,-0.09
8/31/2013,S&P BSE 500,88.54,101.70,-0.13
9/30/2013,S&P BSE 500,93.13,101.70,-0.08
10/31/2013,S&P BSE 500,101.57,101.70,0.00
11/30/2013,S&P BSE 500,100.80,101.70,-0.01
12/31/2013,S&P BSE 500,103.85,103.85,0.00
1/31/2014,S&P BSE 500,99.48,103.85,-0.04
2/28/2014,S&P BSE 500,102.28,103.85,-0.02
3/31/2014,S&P BSE 500,110.05,110.05,0.00
4/30/2014,S&P BSE 500,110.67,110.67,0.00
5/31/2014,S&P BSE 500,122.13,122.13,0.00
6/30/2014,S&P BSE 500,129.89,129.89,0.00
7/31/2014,S&P BSE 500,130.43,130.43,0.00
8/31/2014,S&P BSE 500,133.94,133.94,0.00
9/30/2014,S&P BSE 500,134.96,134.96,0.00
10/31/2014,S&P BSE 500,140.55,140.55,0.00
11/30/2014,S&P BSE 500,145.35,145.35,0.00
12/31/2014,S&P BSE 500,142.24,145.35,-0.02
1/31/2015,S&P BSE 500,150.52,150.52,0.00
2/28/2015,S&P BSE 500,151.96,151.96,0.00
3/31/2015,S&P BSE 500,146.58,151.96,-0.04
4/30/2015,S&P BSE 500,141.91,151.96,-0.07
5/31/2015,S&P BSE 500,146.24,151.96,-0.04
6/30/2015,S&P BSE 500,144.65,151.96,-0.05
7/31/2015,S&P BSE 500,149.02,151.96,-0.02
8/31/2015,S&P BSE 500,139.78,151.96,-0.08
9/30/2015,S&P BSE 500,139.27,151.96,-0.08
10/31/2015,S&P BSE 500,141.57,151.96,-0.07
11/30/2015,S&P BSE 500,140.37,151.96,-0.08
12/31/2015,S&P BSE 500,141.08,151.96,-0.07
1/31/2016,S&P BSE 500,132.85,151.96,-0.13
2/29/2016,S&P BSE 500,122.13,151.96,-0.20
3/31/2016,S&P BSE 500,135.12,151.96,-0.11
4/30/2016,S&P BSE 500,138.10,151.96,-0.09
5/31/2016,S&P BSE 500,142.76,151.96,-0.06
6/30/2016,S&P BSE 500,146.32,151.96,-0.04
7/31/2016,S&P BSE 500,153.70,153.70,0.00
8/31/2016,S&P BSE 500,157.00,157.00,0.00
9/30/2016,S&P BSE 500,155.22,157.00,-0.01
10/31/2016,S&P BSE 500,157.59,157.59,0.00
11/30/2016,S&P BSE 500,148.52,157.59,-0.06
12/31/2016,S&P BSE 500,146.41,157.59,-0.07
1/31/2017,S&P BSE 500,154.68,157.59,-0.02
2/28/2017,S&P BSE 500,161.54,161.54,0.00
3/31/2017,S&P BSE 500,167.58,167.58,0.00
4/30/2017,S&P BSE 500,172.19,172.19,0.00
5/31/2017,S&P BSE 500,175.10,175.10,0.00
6/30/2017,S&P BSE 500,174.83,175.10,0.00
7/31/2017,S&P BSE 500,184.36,184.36,0.00
8/31/2017,S&P BSE 500,182.57,184.36,-0.01
9/30/2017,S&P BSE 500,180.56,184.36,-0.02
10/31/2017,S&P BSE 500,192.17,192.17,0.00
11/30/2017,S&P BSE 500,192.27,192.27,0.00
12/31/2017,S&P BSE 500,199.02,199.02,0.00
1/31/2018,S&P BSE 500,203.60,203.60,0.00
2/28/2018,S&P BSE 500,194.62,203.60,-0.04
3/31/2018,S&P BSE 500,187.39,203.60,-0.08
4/30/2018,S&P BSE 500,199.63,203.60,-0.02
5/31/2018,S&P BSE 500,195.88,203.60,-0.04
6/30/2018,S&P BSE 500,192.74,203.60,-0.05
7/31/2018,S&P BSE 500,203.17,203.60,0.00
8/31/2018,S&P BSE 500,210.22,210.22,0.00
9/30/2018,S&P BSE 500,191.64,210.22,-0.09
10/31/2018,S&P BSE 500,184.16,210.22,-0.12
11/30/2018,S&P BSE 500,191.42,210.22,-0.09
12/31/2018,S&P BSE 500,192.90,210.22,-0.08
1/31/2019,S&P BSE 500,186.83,210.22,-0.11
2/28/2019,S&P BSE 500,188.34,210.22,-0.10
3/31/2019,S&P BSE 500,203.03,210.22,-0.03
4/30/2019,S&P BSE 500,203.49,210.22,-0.03
5/31/2019,S&P BSE 500,205.86,210.22,-0.02
6/30/2019,S&P BSE 500,202.86,210.22,-0.03
7/31/2019,S&P BSE 500,190.03,210.22,-0.10
8/31/2019,S&P BSE 500,188.83,210.22,-0.10
9/30/2019,S&P BSE 500,196.47,210.22,-0.07
10/31/2019,S&P BSE 500,204.13,210.22,-0.03
11/30/2019,S&P BSE 500,206.52,210.22,-0.02
12/31/2019,S&P BSE 500,207.88,210.22,-0.01
1/31/2020,S&P BSE 500,207.61,210.22,-0.01
2/29/2020,S&P BSE 500,194.05,210.22,-0.08
3/31/2020,S&P BSE 500,147.23,210.22,-0.30
4/30/2020,S&P BSE 500,168.76,210.22,-0.20
5/31/2020,S&P BSE 500,164.70,210.22,-0.22
6/30/2020,S&P BSE 500,178.27,210.22,-0.15
7/31/2020,S&P BSE 500,190.32,210.22,-0.09
8/31/2020,S&P BSE 500,197.53,210.22,-0.06
9/30/2020,S&P BSE 500,197.02,210.22,-0.06
10/31/2020,S&P BSE 500,201.85,210.22,-0.04
11/30/2020,S&P BSE 500,225.15,225.15,0.00
12/31/2020,S&P BSE 500,242.77,242.77,0.00
1/31/2021,S&P BSE 500,238.46,242.77,-0.02
2/28/2021,S&P BSE 500,256.98,256.98,0.00
3/31/2021,S&P BSE 500,260.04,260.04,0.00
4/30/2021,S&P BSE 500,261.21,261.21,0.00
5/31/2021,S&P BSE 500,279.32,279.32,0.00
6/30/2021,S&P BSE 500,284.73,284.73,0.00
7/31/2021,S&P BSE 500,288.59,288.59,0.00
8/31/2021,S&P BSE 500,307.43,307.43,0.00
9/30/2021,S&P BSE 500,317.56,317.56,0.00
10/31/2021,S&P BSE 500,318.26,318.26,0.00
11/30/2021,S&P BSE 500,315.79,318.26,-0.01
12/31/2021,S&P BSE 500,315.88,318.26,-0.01
1/31/2022,S&P BSE 500,314.61,318.26,-0.01
2/28/2022,S&P BSE 500,301.70,318.26,-0.05
3/31/2022,S&P BSE 500,314.34,318.26,-0.01
4/30/2022,S&P BSE 500,312.44,318.26,-0.02
5/31/2022,S&P BSE 500,298.46,318.26,-0.06
6/30/2022,S&P BSE 500,282.90,318.26,-0.11
7/31/2022,S&P BSE 500,309.89,318.26,-0.03
8/31/2022,S&P BSE 500,323.98,323.98,0.00
9/30/2022,S&P BSE 500,313.65,323.98,-0.03
10/31/2022,S&P BSE 500,326.21,326.21,0.00
11/30/2022,S&P BSE 500,337.05,337.05,0.00
12/31/2022,S&P BSE 500,326.43,337.05,-0.03
1/31/2023,S&P BSE 500,315.45,337.05,-0.06
2/28/2023,S&P BSE 500,306.25,337.05,-0.09
3/31/2023,S&P BSE 500,307.25,337.05,-0.09
4/30/2023,S&P BSE 500,321.17,337.05,-0.05
5/31/2023,S&P BSE 500,332.45,337.05,-0.01
6/30/2023,S&P BSE 500,345.96,345.96,0.00
7/31/2023,S&P BSE 500,359.10,359.10,0.00
8/31/2023,S&P BSE 500,356.18,359.10,-0.01
9/30/2023,S&P BSE 500,363.60,363.60,0.00
10/31/2023,S&P BSE 500,352.95,363.60,-0.03
11/30/2023,S&P BSE 500,377.32,377.32,0.00
12/31/2023,S&P BSE 500,407.54,407.54,0.00
1/31/2024,S&P BSE 500,415.28,415.28,0.00
2/29/2024,S&P BSE 500,421.56,421.56,0.00
3/31/2011,S&P BSE Midcap,100.00,100.00,0.00
4/30/2011,S&P BSE Midcap,98.66,100.00,-0.01
5/31/2011,S&P BSE Midcap,96.10,100.00,-0.04
6/30/2011,S&P BSE Midcap,95.32,100.00,-0.05
7/31/2011,S&P BSE Midcap,96.17,100.00,-0.04
8/31/2011,S&P BSE Midcap,87.25,100.00,-0.13
9/29/2011,S&P BSE Midcap,85.24,100.00,-0.15
10/31/2011,S&P BSE Midcap,87.59,100.00,-0.12
11/30/2011,S&P BSE Midcap,78.26,100.00,-0.22
12/31/2011,S&P BSE Midcap,71.41,100.00,-0.29
1/31/2012,S&P BSE Midcap,81.66,100.00,-0.18
2/29/2012,S&P BSE Midcap,88.82,100.00,-0.11
3/31/2012,S&P BSE Midcap,88.25,100.00,-0.12
4/30/2012,S&P BSE Midcap,87.83,100.00,-0.12
5/31/2012,S&P BSE Midcap,81.87,100.00,-0.18
6/30/2012,S&P BSE Midcap,85.58,100.00,-0.14
7/31/2012,S&P BSE Midcap,83.61,100.00,-0.16
8/31/2012,S&P BSE Midcap,83.43,100.00,-0.17
9/30/2012,S&P BSE Midcap,91.89,100.00,-0.08
10/31/2012,S&P BSE Midcap,91.31,100.00,-0.09
11/30/2012,S&P BSE Midcap,95.99,100.00,-0.04
12/31/2012,S&P BSE Midcap,98.92,100.00,-0.01
1/31/2013,S&P BSE Midcap,96.94,100.00,-0.03
2/28/2013,S&P BSE Midcap,87.66,100.00,-0.12
3/31/2013,S&P BSE Midcap,85.42,100.00,-0.15
4/30/2013,S&P BSE Midcap,88.23,100.00,-0.12
5/31/2013,S&P BSE Midcap,88.86,100.00,-0.11
6/30/2013,S&P BSE Midcap,82.95,100.00,-0.17
7/31/2013,S&P BSE Midcap,77.09,100.00,-0.23
8/31/2013,S&P BSE Midcap,73.71,100.00,-0.26
9/30/2013,S&P BSE Midcap,77.96,100.00,-0.22
10/31/2013,S&P BSE Midcap,84.94,100.00,-0.15
11/30/2013,S&P BSE Midcap,87.96,100.00,-0.12
12/31/2013,S&P BSE Midcap,93.25,100.00,-0.07
1/31/2014,S&P BSE Midcap,87.73,100.00,-0.12
2/28/2014,S&P BSE Midcap,90.40,100.00,-0.10
3/31/2014,S&P BSE Midcap,98.50,100.00,-0.01
4/30/2014,S&P BSE Midcap,101.85,101.85,0.00
5/31/2014,S&P BSE Midcap,117.75,117.75,0.00
