Date,Group,Indexed Value
10/31/2014,S&P BSE Midcap,136.7699571
11/30/2014,S&P BSE Midcap,142.8335559
12/31/2014,S&P BSE Midcap,144.2516545
1/31/2015,S&P BSE Midcap,149.3417621
2/28/2015,S&P BSE Midcap,150.3466832
3/31/2015,S&P BSE Midcap,147.3061919
4/30/2015,S&P BSE Midcap,144.8595303
5/31/2015,S&P BSE Midcap,149.0288542
6/30/2015,S&P BSE Midcap,148.5268109
7/31/2015,S&P BSE Midcap,156.7740896
8/31/2015,S&P BSE Midcap,149.2837699
9/30/2015,S&P BSE Midcap,150.1846665
10/31/2015,S&P BSE Midcap,152.6239574
11/30/2015,S&P BSE Midcap,152.7626104
12/31/2015,S&P BSE Midcap,154.9670118
1/31/2016,S&P BSE Midcap,144.8730201
2/29/2016,S&P BSE Midcap,133.161086
3/31/2016,S&P BSE Midcap,147.6779265
4/30/2016,S&P BSE Midcap,153.9455413
5/31/2016,S&P BSE Midcap,158.0671642
6/30/2016,S&P BSE Midcap,162.9515869
7/31/2016,S&P BSE Midcap,176.0775866
8/31/2016,S&P BSE Midcap,183.8133653
9/30/2016,S&P BSE Midcap,183.1092529
10/31/2016,S&P BSE Midcap,187.3707804
11/30/2016,S&P BSE Midcap,173.8185306
12/31/2016,S&P BSE Midcap,167.3200594
1/31/2017,S&P BSE Midcap,178.809064
2/28/2017,S&P BSE Midcap,188.4709646
3/31/2017,S&P BSE Midcap,196.0423623
4/30/2017,S&P BSE Midcap,205.8023074
5/31/2017,S&P BSE Midcap,203.3941682
6/30/2017,S&P BSE Midcap,203.6610438
7/31/2017,S&P BSE Midcap,214.0230237
8/31/2017,S&P BSE Midcap,216.1121359
9/30/2017,S&P BSE Midcap,214.6687265
10/31/2017,S&P BSE Midcap,230.6893329
11/30/2017,S&P BSE Midcap,235.271139
12/31/2017,S&P BSE Midcap,247.1555201
1/31/2018,S&P BSE Midcap,241.4814568
2/28/2018,S&P BSE Midcap,230.3362337
3/31/2018,S&P BSE Midcap,221.992023
4/30/2018,S&P BSE Midcap,236.5866038
5/31/2018,S&P BSE Midcap,222.7043405
6/30/2018,S&P BSE Midcap,214.8759411
7/31/2018,S&P BSE Midcap,222.6991949
8/31/2018,S&P BSE Midcap,234.7689566
9/30/2018,S&P BSE Midcap,205.312085
10/31/2018,S&P BSE Midcap,203.217549
11/30/2018,S&P BSE Midcap,209.1525079
12/31/2018,S&P BSE Midcap,214.7027987
1/31/2019,S&P BSE Midcap,201.6378509
2/28/2019,S&P BSE Midcap,199.1256872
3/31/2019,S&P BSE Midcap,215.2753507
4/30/2019,S&P BSE Midcap,207.0615878
5/31/2019,S&P BSE Midcap,209.9428438
6/30/2019,S&P BSE Midcap,205.9398478
7/31/2019,S&P BSE Midcap,189.7387283
8/31/2019,S&P BSE Midcap,187.2934574
9/30/2019,S&P BSE Midcap,196.1463868
10/31/2019,S&P BSE Midcap,206.7208659
11/30/2019,S&P BSE Midcap,209.7854163
12/31/2019,S&P BSE Midcap,208.2019633
1/31/2020,S&P BSE Midcap,215.0304481
2/29/2020,S&P BSE Midcap,203.0427378
3/31/2020,S&P BSE Midcap,146.9962045
4/30/2020,S&P BSE Midcap,167.0712628
5/31/2020,S&P BSE Midcap,164.7038712
6/30/2020,S&P BSE Midcap,181.5600112
7/31/2020,S&P BSE Midcap,191.3481875
8/31/2020,S&P BSE Midcap,203.8907878
9/30/2020,S&P BSE Midcap,204.5026965
